                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6515,                 5.0135,                 2.3751,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.075111,              0.0035199,              0.0035199
                      2,                 1.6305,                 2.7811,                 1.4826,                0.08462,                0.05236,                0.02015,                0.00716,                 1.8568,                 4.4827,                 1.6299,                0.04987,              0.0070667,              0.0070667
                      3,                 1.4229,                 2.4266,                 1.3398,                0.09932,                0.25916,                0.06638,                0.02887,                 1.4706,                  32.93,                 1.3427,               0.024608,               0.010593,               0.010593
                      4,                 1.3288,                 2.2212,                 1.2794,                0.03342,                0.11518,                0.01429,                0.00525,                  1.677,                 5.3632,                 1.4772,               0.012285,               0.012285,               0.012285
                      5,                 1.2567,                 2.0882,                 1.2313,                0.22616,                0.17801,                0.11595,                0.06114,                 1.2521,                  7.024,                  1.202,                0.01225,                0.01225,                0.01225
                      6,                 1.1865,                  1.948,                 1.1853,                 0.4281,                0.41099,                0.39859,                0.23501,                 1.0191,                   2.14,                 1.0763,               0.012215,               0.012215,               0.012215
                      7,                 1.1312,                  1.833,                 1.1503,                0.20577,                0.20942,                0.11191,                0.06608,                 1.1249,                 2.9158,                 1.1058,                0.01218,                0.01218,                0.01218
                      8,                 1.1066,                 1.8002,                 1.1356,                0.34604,                0.38743,                0.27817,                0.17839,                 1.0322,                 3.1032,                 1.0901,               0.012145,               0.012145,               0.012145
                      9,                 1.0596,                 1.6809,                 1.1119,                  0.245,                0.33246,                 0.1856,                0.11678,                 1.0809,                  3.086,                 1.1008,                0.01211,                0.01211,                0.01211
                     10,                 1.0447,                 1.6433,                 1.1052,                0.42932,                0.40052,                0.38659,                0.24121,                  1.059,                 3.2449,                 1.0844,               0.012075,               0.012075,               0.012075
                     11,                 1.0114,                 1.5813,                  1.087,                0.42621,                0.37696,                 0.3697,                0.23009,                0.95848,                 1.9109,                 1.0521,                0.01204,                0.01204,                0.01204
                     12,                0.99619,                 1.5386,                 1.0727,                0.62523,                0.37122,                0.44118,                0.29694,                0.93535,                 2.0306,                 1.0351,               0.012005,               0.012005,               0.012005
                     13,                 1.0011,                 1.4989,                 1.0759,                0.56357,                0.47382,                 0.4831,                0.33865,                0.89013,                 2.5901,                 1.0094,                0.01197,                0.01197,                0.01197
                     14,                0.98654,                 1.4896,                 1.0693,                0.58638,                0.43979,                0.46636,                 0.2929,                0.93688,                 3.4775,                 1.0281,               0.011935,               0.011935,               0.011935
                     15,                0.94529,                 1.4326,                 1.0469,                0.62722,                0.47906,                0.56088,                0.40124,                0.81034,                 1.4065,                0.98206,                 0.0119,                 0.0119,                 0.0119
                     16,                0.91986,                 1.3653,                 1.0347,                0.66594,                 0.4555,                0.53082,                0.36455,                0.88737,                 1.7556,                 1.0028,               0.011865,               0.011865,               0.011865
                     17,                0.93099,                 1.3512,                 1.0448,                0.58021,                0.54188,                0.55902,                0.37797,                0.86359,                 1.4644,                0.99347,                0.01183,                0.01183,                0.01183
                     18,                0.92068,                 1.3362,                 1.0346,                0.69589,                0.43194,                0.53554,                0.36948,                0.84358,                 1.5595,                0.99344,               0.011795,               0.011795,               0.011795
                     19,                0.88499,                 1.2806,                 1.0227,                0.52138,                0.53041,                0.51967,                0.37397,                0.84832,                 2.1568,                0.99564,                0.01176,                0.01176,                0.01176
                     20,                 0.8914,                 1.2783,                 1.0237,                0.66728,                0.47777,                0.55451,                 0.3959,                0.84274,                 1.5007,                0.98294,               0.011725,               0.011725,               0.011725
                     21,                0.88636,                 1.2543,                 1.0186,                0.68715,                0.50599,                0.58266,                 0.4231,                0.77226,                 1.4176,                0.95668,                0.01169,                0.01169,                0.01169
                     22,                0.87513,                 1.2407,                 1.0136,                 0.5532,                0.43194,                0.44299,                0.31598,                0.79988,                 1.6307,                0.96839,               0.011655,               0.011655,               0.011655
                     23,                0.86058,                  1.217,                 1.0063,                0.62126,                0.49215,                0.57681,                0.42235,                0.77134,                 1.4812,                0.95001,                0.01162,                0.01162,                0.01162
