                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.996,                 4.0084,                 2.4476,                0.01625,                0.03665,                0.00443,                0.00171,                 1.9259,                 9.1262,                 2.0634,               0.075027,              0.0035317,              0.0035317
                      2,                  1.415,                 2.9004,                 1.7165,                 0.2488,                0.12659,                 0.0826,                0.02877,                 1.7002,                 4.8642,                 1.9751,               0.049829,              0.0070724,              0.0070724
                      3,                   1.24,                  2.586,                 1.5362,                0.19874,                0.16492,                  0.085,                0.03627,                 1.2264,                    inf,                 1.5384,               0.024612,               0.010593,               0.010593
                      4,                 1.1782,                 2.3649,                 1.4671,                0.27031,                0.25916,                0.19631,                0.10511,                 1.1371,                 18.302,                 1.5484,               0.012285,               0.012285,               0.012285
                      5,                 1.0947,                 2.1625,                 1.3839,                0.55697,                0.39267,                0.44063,                0.27304,                0.99384,                 2.6022,                 1.2721,                0.01225,                0.01225,                0.01225
                      6,                  1.046,                 2.0183,                 1.3332,                0.29223,                0.35864,                0.24013,                0.16623,                0.91124,                 16.701,                 1.2514,               0.012215,               0.012215,               0.012215
                      7,                 0.9993,                  1.912,                 1.2834,                0.45832,                0.43979,                0.40477,                 0.2668,                0.92276,                 3.4463,                 1.2138,                0.01218,                0.01218,                0.01218
                      8,                 0.9765,                 1.8049,                 1.2581,                0.25365,                0.34817,                0.19873,                0.13761,                0.89333,                 4.2638,                 1.1824,               0.012145,               0.012145,               0.012145
                      9,                 0.9526,                  1.761,                 1.2367,                0.62834,                0.43814,                0.50029,                0.33931,                0.89333,                 2.0446,                 1.1618,                0.01211,                0.01211,                0.01211
                     10,                0.93939,                  1.683,                 1.2194,                0.50985,                0.42408,                0.47065,                0.34243,                0.81281,                 2.3491,                 1.1195,               0.012075,               0.012075,               0.012075
                     11,                 0.9076,                 1.6421,                 1.1858,                0.49469,                0.43979,                0.47273,                 0.3419,                0.83077,                 1.9287,                 1.0731,                0.01204,                0.01204,                0.01204
                     12,                0.90165,                 1.5878,                 1.1725,                0.60997,                0.43979,                0.51614,                0.37512,                0.81858,                 1.8093,                 1.0976,               0.012005,               0.012005,               0.012005
                     13,                0.88854,                 1.5696,                 1.1621,                 0.6344,                0.46859,                0.52118,                0.37308,                0.79341,                 1.9434,                 1.0871,                0.01197,                0.01197,                0.01197
                     14,                0.87521,                 1.5099,                 1.1517,                0.57996,                 0.5494,                0.56074,                 0.3928,                0.81447,                 1.7528,                 1.0824,               0.011935,               0.011935,               0.011935
                     15,                0.86223,                 1.4797,                  1.142,                0.47163,                0.42061,                0.41248,                0.30734,                0.75011,                 5.0307,                 1.0614,                 0.0119,                 0.0119,                 0.0119
                     16,                0.86521,                 1.4841,                  1.137,                0.52726,                0.44503,                0.49848,                0.36371,                 0.7975,                  1.748,                 1.0736,               0.011865,               0.011865,               0.011865
                     17,                0.86765,                 1.4351,                 1.1415,                0.57287,                0.51309,                0.54641,                0.41011,                0.72982,                 1.8207,                 1.0228,                0.01183,                0.01183,                0.01183
                     18,                0.83533,                 1.4204,                 1.1146,                0.65356,                0.56298,                0.60452,                0.45053,                0.72923,                 1.5268,                  1.011,               0.011795,               0.011795,               0.011795
                     19,                0.83013,                 1.3582,                  1.111,                0.66811,                0.51047,                0.58913,                0.44214,                0.74218,                 1.6696,                 1.0172,                0.01176,                0.01176,                0.01176
                     20,                0.82793,                 1.3577,                 1.1071,                0.75474,                0.47906,                  0.602,                0.44692,                0.76907,                  1.573,                 1.0328,               0.011725,               0.011725,               0.011725
                     21,                0.81981,                 1.3239,                 1.0917,                0.62363,                0.52052,                0.57629,                0.41369,                0.81117,                 1.6078,                 1.0786,                0.01169,                0.01169,                0.01169
                     22,                0.81045,                 1.3137,                 1.0934,                0.71312,                0.45812,                0.57379,                0.42218,                0.75297,                 1.5799,                 1.0255,               0.011655,               0.011655,               0.011655
                     23,                0.80297,                 1.2654,                  1.084,                0.64311,                0.52618,                0.59581,                0.44947,                0.72058,                 1.5091,                 1.0013,                0.01162,                0.01162,                0.01162
                     24,                 0.7932,                 1.2521,                 1.0709,                0.68238,                 0.5288,                 0.6059,                0.45054,                0.74337,                 1.6597,                 1.0059,               0.011585,               0.011585,               0.011585
                     25,                0.79536,                 1.2419,                   1.07,                0.65712,                0.51674,                0.58506,                0.42929,                0.73062,                 1.6513,                 1.0174,                0.01155,                0.01155,                0.01155
                     26,                0.78294,                 1.2361,                  1.061,                0.63912,                 0.6027,                0.62615,                0.46448,                0.72658,                 1.4142,                 1.0035,               0.011515,               0.011515,               0.011515
                     27,                0.78092,                 1.2047,                 1.0619,                0.64529,                0.52094,                0.57072,                0.43282,                0.67939,                  1.651,                0.96439,                0.01148,                0.01148,                0.01148
                     28,                0.77829,                 1.1963,                 1.0555,                0.69827,                 0.5634,                0.64652,                0.48761,                0.70148,                 1.4675,                0.99425,               0.011445,               0.011445,               0.011445
                     29,                0.78389,                 1.1867,                 1.0644,                0.66594,                 0.5445,                0.59944,                0.45004,                0.71829,                 1.4594,                 0.9934,                0.01141,                0.01141,                0.01141
                     30,                0.76992,                 1.1739,                 1.0569,                0.69869,                0.52812,                0.59934,                0.45221,                0.74429,                  1.448,                 1.0296,               0.011375,               0.011375,               0.011375
                     31,                0.76337,                 1.1601,                 1.0476,                0.72633,                0.54888,                0.63628,                0.49484,                 0.6671,                 1.4607,                0.97264,                0.01134,                0.01134,                0.01134
                     32,                0.76034,                 1.1361,                 1.0386,                0.66784,                0.58639,                0.61862,                0.47466,                0.65514,                 1.6049,                0.96208,               0.011305,               0.011305,               0.011305
                     33,                0.76863,                 1.1469,                 1.0396,                0.67123,                0.62042,                0.66244,                0.50788,                0.66158,                 1.2749,                0.96525,                0.01127,                0.01127,                0.01127
                     34,                 0.7622,                 1.1427,                 1.0419,                0.63052,                0.55759,                0.61407,                0.47029,                0.65527,                 1.3997,                0.96282,               0.011235,               0.011235,               0.011235
