                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7654,                 6.5142,                 3.9551,                0.02076,                0.01571,                0.01057,                0.00544,                 2.7832,                 7.1644,                  3.213,              0.0033167,              0.0033167,              0.0033167
                      2,                 2.3193,                 3.4887,                 2.3996,                0.49231,                0.08377,                0.27861,                0.17753,                 1.7801,                 2.9523,                 1.9923,              0.0066312,              0.0066312,              0.0066312
                      3,                 1.9284,                 2.7082,                  1.936,                0.23618,                0.16594,                0.10804,                0.06106,                 2.3482,                  12.93,                 2.3154,              0.0099269,              0.0099269,              0.0099269
                      4,                 1.7676,                 2.2733,                 1.7419,                0.22606,                 0.2644,                0.14551,                 0.0868,                 1.6735,                 5.8976,                 1.8028,              0.0099151,              0.0099151,              0.0099151
                      5,                 1.6209,                 1.9657,                 1.6121,                0.31235,                0.15183,                0.13819,                0.08554,                 1.8723,                 4.7786,                 1.9264,              0.0098869,              0.0098869,              0.0098869
                      6,                   1.52,                 1.7645,                 1.5384,                0.30014,                0.39518,                0.26494,                0.19022,                 1.2924,                 3.1255,                 1.5043,              0.0098586,              0.0098586,              0.0098586
                      7,                  1.443,                 1.6572,                 1.4895,                0.50759,                0.37958,                0.43692,                0.30966,                 1.3016,                 2.0459,                 1.5166,              0.0098303,              0.0098303,              0.0098303
                      8,                 1.3844,                 1.5528,                 1.4389,                  0.427,                0.40577,                0.39321,                0.28703,                  1.303,                 2.0217,                 1.5207,               0.009802,               0.009802,               0.009802
                      9,                 1.3755,                 1.4996,                 1.4229,                0.61013,                0.31955,                0.42948,                0.32259,                 1.2028,                 2.0259,                 1.4209,              0.0097737,              0.0097737,              0.0097737
                     10,                 1.3582,                 1.4416,                 1.4189,                0.65372,                0.38743,                0.51479,                0.38587,                 1.2021,                  1.895,                 1.4377,              0.0097454,              0.0097454,              0.0097454
                     11,                 1.3153,                   1.38,                 1.3887,                0.46969,                0.39267,                 0.4198,                0.32524,                 1.1363,                 2.0026,                 1.3871,              0.0097171,              0.0097171,              0.0097171
                     12,                 1.3086,                 1.3516,                 1.3893,                0.60663,                0.51832,                0.57875,                0.42809,                 1.1603,                 1.6584,                 1.3866,              0.0096889,              0.0096889,              0.0096889
                     13,                 1.2797,                 1.2888,                 1.3548,                0.68121,                0.53141,                0.62829,                0.48627,                 1.0771,                 1.5845,                 1.3275,              0.0096606,              0.0096606,              0.0096606
                     14,                  1.263,                 1.2637,                  1.362,                0.73648,                0.46824,                0.59087,                0.44007,                  1.146,                  1.585,                 1.3769,              0.0096323,              0.0096323,              0.0096323
                     15,                 1.2532,                 1.2389,                 1.3468,                0.66211,                0.46597,                0.58221,                0.44632,                 1.0613,                  1.541,                 1.3028,               0.009604,               0.009604,               0.009604
                     16,                 1.2421,                 1.2032,                 1.3268,                0.61399,                0.49738,                0.57823,                0.44811,                 1.0596,                 1.4994,                  1.323,              0.0095757,              0.0095757,              0.0095757
                     17,                 1.2325,                 1.1813,                 1.3184,                0.67171,                0.53927,                 0.6367,                0.49007,                 1.0542,                 1.3907,                 1.3109,              0.0095474,              0.0095474,              0.0095474
                     18,                 1.2147,                 1.1586,                  1.313,                  0.651,                0.54188,                0.63984,                0.48448,                 1.0753,                 1.3978,                 1.3102,              0.0095191,              0.0095191,              0.0095191
                     19,                 1.2061,                 1.1268,                 1.3039,                0.56916,                0.57068,                0.59296,                 0.4514,                 1.0377,                 1.3821,                 1.2921,              0.0094909,              0.0094909,              0.0094909
                     20,                 1.2032,                 1.1236,                 1.3169,                0.67775,                0.62304,                  0.699,                0.53173,                 1.0792,                 1.3047,                 1.3056,              0.0094626,              0.0094626,              0.0094626
                     21,                  1.184,                 1.0927,                 1.2915,                0.69424,                 0.5733,                0.67937,                0.53014,                 1.0966,                 1.2904,                 1.3077,              0.0094343,              0.0094343,              0.0094343
                     22,                 1.1772,                   1.06,                 1.2892,                0.67461,                0.58115,                0.65784,                0.50978,                 1.0674,                 1.2736,                 1.3179,               0.009406,               0.009406,               0.009406
                     23,                 1.1639,                 1.0595,                 1.2829,                0.67577,                0.58115,                0.66958,                0.50984,                   1.07,                 1.3376,                 1.3091,              0.0093777,              0.0093777,              0.0093777
                     24,                 1.1579,                 1.0254,                  1.273,                0.66368,                0.61518,                0.67881,                0.52798,                 1.0182,                 1.2489,                 1.2825,              0.0093494,              0.0093494,              0.0093494
                     25,                 1.1586,                 1.0331,                 1.2704,                 0.6067,                0.58958,                0.62569,                0.48816,                 1.0124,                 1.3616,                 1.2809,              0.0093211,              0.0093211,              0.0093211
                     26,                 1.1429,                 1.0015,                   1.27,                 0.7477,                0.60471,                0.71108,                0.56115,                  1.019,                  1.229,                 1.2722,              0.0092929,              0.0092929,              0.0092929
                     27,                 1.1454,                0.99208,                 1.2723,                0.74182,                0.63874,                0.73386,                0.55577,                 1.0504,                 1.2443,                 1.2982,              0.0092646,              0.0092646,              0.0092646
                     28,                 1.1389,                0.98017,                 1.2561,                0.67549,                0.61577,                0.68663,                0.52174,                 1.0306,                  1.338,                  1.291,              0.0092363,              0.0092363,              0.0092363
                     29,                 1.1312,                0.96045,                 1.2575,                0.67985,                0.62818,                0.68789,                0.53216,                 1.0366,                 1.2306,                 1.2833,               0.009208,               0.009208,               0.009208
                     30,                 1.1251,                0.94969,                 1.2459,                 0.7852,                0.65074,                0.74314,                0.58339,                0.98965,                 1.1527,                 1.2473,              0.0091797,              0.0091797,              0.0091797
